Wood Supply Region	Species	Pruning	Thinnning	Planting coverage	Owner size	Age (years)	TRV (m3/ha)	Thinnings (m3/ha)	Pruned logs (m3/ha)	Unpruned logs (m3/ha)	Pulplogs (m3/ha)	Unpruned thinnings (m3/ha)	Pulplog thinnings (m3/ha)
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	25	389	0	0	287	102		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	26	418	0	0	312	106		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	27	447	0	0	344	103		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	28	472	0	0	367	105		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	29	497	0	0	388	109		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	30	521	0	0	408	113		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	31	544	0	0	427	117		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	32	569	0	0	448	121		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	33	592	0	0	467	125		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	34	614	0	0	486	128		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	35	637	0	0	505	132		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	36	660	0	0	524	136		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	37	683	0	0	544	139		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	38	705	0	0	563	142		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	39	726	0	0	580	146		
CNI	radiata pine	unpruned	with production thinning	planted pre-1990	All sizes	40	745	0	0	596	149		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	11	89	0	36	37	16		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	12	116	0	43	53	20		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	13	147	0	50	72	25		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	14	180	0	57	93	30		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	15	215	0	64	116	35		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	16	250	0	71	140	39		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	17	287	0	78	165	44		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	18	323	0	84	190	49		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	19	359	0	89	216	54		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	20	396	0	95	242	59		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	21	427	0	103	264	60		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	22	459	0	112	281	66		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	23	490	0	118	301	71		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	24	520	0	124	319	77		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	25	547	0	129	336	82		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	26	575	0	134	355	86		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	27	590	0	131	375	84		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	28	627	0	143	395	89		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	29	651	0	146	412	93		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	30	676	0	150	429	97		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	31	698	0	154	444	100		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	32	720	0	157	459	104		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	33	741	0	160	475	106		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	34	758	0	160	489	109		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	35	780	0	166	503	111		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	36	801	0	170	517	114		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	37	818	0	171	531	116		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	38	836	0	175	543	118		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	39	851	0	176	555	120		
East Coast	radiata pine	pruned	no production thinning	planted post-1989	All sizes	40	868	0	179	566	123		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	11	90	0	27	50	13		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	12	115	0	33	65	17		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	13	142	0	38	83	21		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	14	171	0	44	102	25		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	15	202	0	51	122	29		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	16	232	0	56	142	34		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	17	263	0	62	163	38		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	18	293	0	68	183	42		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	19	323	0	73	204	46		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	20	355	0	79	225	51		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	21	385	0	86	247	52		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	22	407	0	88	264	55		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	23	447	0	100	284	63		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	24	476	0	105	302	69		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	25	503	0	109	321	73		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	26	531	0	114	341	76		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	27	549	0	111	363	75		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	28	584	0	122	383	79		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	29	608	0	125	400	83		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	30	633	0	129	418	86		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	31	655	0	131	434	90		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	32	677	0	134	449	94		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	33	698	0	136	466	96		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	34	712	0	136	479	97		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	35	734	0	141	494	99		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	36	751	0	143	507	101		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	37	769	0	145	521	103		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	38	783	0	146	532	105		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	39	800	0	148	544	108		
East Coast	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	40	814	0	150	555	109		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	11	93	0	0	51	42		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	12	121	0	0	67	54		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	13	149	0	0	84	65		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	14	178	0	0	102	76		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	15	208	0	0	121	87		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	16	237	0	0	139	98		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	17	269	0	0	159	110		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	18	299	0	0	178	121		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	19	328	0	0	197	131		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	20	358	0	0	217	141		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	21	389	0	0	238	151		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	22	417	0	0	257	160		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	23	449	0	0	279	170		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	24	476	0	0	298	178		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	25	503	0	0	317	186		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	26	531	0	0	335	196		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	27	557	0	0	353	204		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	28	583	0	0	371	212		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	29	608	0	0	388	220		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	30	632	0	0	404	228		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	31	654	0	0	420	234		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	32	675	0	0	434	241		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	33	695	0	0	448	247		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	34	716	0	0	462	254		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	35	735	0	0	475	260		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	36	754	0	0	488	266		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	37	771	0	0	500	271		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	38	789	0	0	511	278		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	39	803	0	0	521	282		
East Coast	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	40	819	0	0	533	286		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	11	0	0	0				
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	12	132	0	0	80	52		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	13	162	0	0	99	63		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	14	192	0	0	118	74		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	15	223	0	0	138	85		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	16	255	0	0	158	97		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	17	286	0	0	178	108		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	18	318	0	0	199	119		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	19	349	0	0	219	130		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	20	379	0	0	239	140		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	21	410	0	0	259	151		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	22	439	0	0	279	160		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	23	468	0	0	298	170		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	24	498	0	0	318	180		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	25	524	0	0	335	189		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	26	553	0	0	354	199		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	27	579	0	0	372	207		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	28	604	0	0	388	216		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	29	630	0	0	405	225		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	30	654	0	0	420	234		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	31	676	0	0	435	241		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	32	699	0	0	449	250		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	33	720	0	0	463	257		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	34	741	0	0	477	264		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	35	760	0	0	489	271		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	36	779	0	0	501	278		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	37	797	0	0	513	284		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	38	815	0	0	525	290		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	39	832	0	0	535	297		
East Coast	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	40	848	0	0	546	302		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	11	86	0	24	49	13		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	12	117	0	33	66	18		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	13	146	0	41	83	22		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	14	180	0	51	102	27		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	15	216	0	61	122	33		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	16	252	0	71	143	38		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	17	290	0	82	164	44		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	18	327	0	92	185	50		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	19	366	0	103	207	56		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	20	412	0	116	233	63		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	21	449	0	127	254	68		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	22	484	0	136	274	74		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	23	520	0	147	294	79		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	24	554	0	156	314	84		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	25	589	0	166	333	90		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	26	621	0	175	352	94		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	27	656	0	185	371	100		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	28	689	0	194	390	105		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	29	721	0	203	408	110		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	30	752	0	212	426	114		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	31	784	0	221	444	119		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	32	815	0	230	461	124		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	33	847	0	239	479	129		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	34	875	0	247	495	133		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	35	906	0	255	513	138		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	36	935	0	264	529	142		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	37	965	0	272	546	147		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	38	991	0	279	561	151		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	39	1018	0	287	576	155		
Hawke's Bay	radiata pine	pruned	no production thinning	planted post-1989	All sizes	40	1044	0	294	591	159		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	11	73	0	15	45	13		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	12	99	0	20	61	18		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	13	127	0	25	79	23		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	14	160	0	32	99	29		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	15	191	0	38	119	34		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	16	227	0	45	141	41		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	17	265	0	53	164	48		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	18	300	0	60	186	54		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	19	339	0	68	210	61		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	20	385	0	77	239	69		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	21	420	0	84	260	76		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	22	455	0	91	282	82		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	23	491	0	98	305	88		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	24	526	0	105	326	95		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	25	561	0	112	348	101		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	26	595	0	119	369	107		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	27	629	0	126	390	113		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	28	665	0	133	412	120		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	29	699	0	140	433	126		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	30	731	0	146	453	132		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	31	765	0	153	474	138		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	32	796	0	159	494	143		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	33	828	0	166	513	149		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	34	860	0	172	533	155		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	35	891	0	178	553	160		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	36	923	0	185	572	166		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	37	951	0	190	590	171		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	38	979	0	196	607	176		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	39	1007	0	201	625	181		
Hawke's Bay	radiata pine	pruned	no production thinning	planted pre-1990	All sizes	40	1034	0	207	641	186		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	11	95	0	0	70	25		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	12	125	0	0	92	33		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	13	156	0	0	115	41		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	14	190	0	0	140	50		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	15	225	0	0	166	59		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	16	261	0	0	192	69		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	17	297	0	0	219	78		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	18	335	0	0	247	88		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	19	371	0	0	273	98		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	20	410	0	0	302	108		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	21	445	0	0	328	117		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	22	479	0	0	353	126		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	23	513	0	0	378	135		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	24	547	0	0	403	144		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	25	578	0	0	426	152		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	26	611	0	0	450	161		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	27	643	0	0	474	169		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	28	673	0	0	496	177		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	29	703	0	0	518	185		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	30	733	0	0	540	193		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	31	762	0	0	562	200		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	32	790	0	0	582	208		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	33	817	0	0	602	215		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	34	844	0	0	622	222		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	35	868	0	0	640	228		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	36	894	0	0	659	235		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	37	919	0	0	677	242		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	38	943	0	0	695	248		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	39	965	0	0	711	254		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted post-1989	All sizes	40	988	0	0	728	260		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	11	50	0	0	35	15		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	12	69	0	0	48	21		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	13	93	0	0	65	28		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	14	117	0	0	82	35		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	15	143	0	0	100	43		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	16	173	0	0	121	52		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	17	203	0	0	142	61		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	18	233	0	0	163	70		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	19	264	0	0	185	79		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	20	303	0	0	212	91		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	21	333	0	0	233	100		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	22	364	0	0	255	109		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	23	396	0	0	277	119		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	24	426	0	0	298	128		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	25	457	0	0	320	137		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	26	489	0	0	342	147		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	27	519	0	0	363	156		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	28	550	0	0	385	165		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	29	580	0	0	406	174		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	30	610	0	0	427	183		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	31	639	0	0	447	192		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	32	668	0	0	468	200		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	33	697	0	0	488	209		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	34	724	0	0	507	217		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	35	753	0	0	527	226		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	36	780	0	0	546	234		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	37	806	0	0	564	242		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	38	833	0	0	583	250		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	39	857	0	0	600	257		
Hawke's Bay	radiata pine	unpruned	no production thinning	planted pre-1990	All sizes	40	883	0	0	618	265		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	11	100	0	27	55	18		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	12	128	0	34	72	22		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	13	157	0	41	90	26		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	14	185	0	47	108	30		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	15	217	0	53	129	35		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	16	249	0	60	149	40		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	17	279	0	66	170	43		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	18	311	0	72	192	47		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	19	342	0	78	213	51		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	20	377	0	80	239	58		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	21	405	0	86	259	60		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	22	434	0	95	276	63		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	23	460	0	100	295	65		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	24	488	0	106	314	68		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	25	512	0	111	332	69		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	26	538	0	116	350	72		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	27	563	0	120	369	74		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	28	588	0	124	387	77		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	29	612	0	127	406	79		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	30	636	0	131	424	81		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	31	659	0	134	441	84		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	32	679	0	137	456	86		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	33	699	0	141	471	87		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	34	718	0	144	485	89		
Southern N Island (West)	Radiata pine	Pruned	no production thinning	planted post-1989	All sizes	35	737	0	146	500	91		
